0,0,DYNAMIC
6,0,DYNAMIC
4,1,DYNAMIC
2,2,STATIONARY
5,2,STATIONARY
0,3,STATIONARY
3,3,STATIONARY
6,3,STATIONARY
1,4,STATIONARY
4,4,STATIONARY
0,5,STATIONARY
3,5,STATIONARY
6,5,STATIONARY
1,6,STATIONARY
4,6,STATIONARY
7,6,DYNAMIC
5,7,DYNAMIC
3,8,STATIONARY
6,8,STATIC
7,8,STATIC
0,9,STATIC
1,9,STATIC
2,9,STATIC
3,9,STATIC
4,9,STATIC
5,9,STATIC
6,9,STATIC
7,9,STATIONARY
2,10,DYNAMIC
0,11,DYNAMIC
6,11,DYNAMIC
4,12,DYNAMIC
2,13,DYNAMIC
0,14,DYNAMIC
6,14,DYNAMIC
4,15,DYNAMIC
2,16,DYNAMIC
0,17,DYNAMIC
6,17,DYNAMIC
4,18,DYNAMIC
2,19,DYNAMIC
0,20,DYNAMIC
6,20,DYNAMIC
4,21,DYNAMIC
2,22,DYNAMIC
0,23,DYNAMIC
6,23,DYNAMIC
4,24,DYNAMIC
2,25,DYNAMIC
0,26,DYNAMIC
6,26,DYNAMIC
4,27,DYNAMIC
2,28,DYNAMIC
0,29,DYNAMIC
6,29,STATIONARY
1,30,DYNAMIC
7,30,DYNAMIC
5,31,DYNAMIC
3,32,DYNAMIC
1,33,DYNAMIC
7,33,DYNAMIC
5,34,DYNAMIC
3,35,DYNAMIC
1,36,DYNAMIC
7,36,STATIONARY
2,37,STATIONARY
5,37,STATIONARY
0,38,DYNAMIC
6,38,DYNAMIC
4,39,STATIONARY
7,39,STATIONARY
2,40,STATIONARY
5,40,STATIONARY
0,41,STATIONARY
3,41,STATIONARY
6,41,DYNAMIC
4,42,DYNAMIC
2,43,DYNAMIC
